output,source,target,f:sLang,f:tLang,f1:sourceCorpusPermutationsFrequencyRatio,f2:targetCorpusPermutationsFrequencyRatio,f3:sourceAlignmentMemoryFrequencyRatio,f4:targetAlignmentMemoryFrequencyRatio,f5:frequencyRatioCorpusFiltered,f6:frequencyRatioAlignmentMemoryFiltered,f7:sourceCorpusLemmaPermutationsFrequencyRatio,f8:targetCorpusLemmaPermutationsFrequencyRatio,f9:sourceAlignmentMemoryLemmaFrequencyRatio,f10:targetAlignmentMemoryLemmaFrequencyRatio,f11:lemmaFrequencyRatioCorpusFiltered,f12:lemmaFrequencyRatioAlignmentMemoryFiltered,f13:alignmentRelativeOccurrence,f14:alignmentPosition,f15:phrasePlausibility,f16:lemmaPhrasePlausibility,f17:ngramLength,f18:characterLength,f19:alignmentOccurrences,f20:lemmaAlignmentOccurrences,f21:uniqueness,f22:lemmaUniqueness
1,n:παῦλος,n:paul,ugnt,en,0.01818181818181818,0.022988505747126436,0,0,1,0,0,0,0,0,0,0,1,1,0.780109783661608,0,0.9410546270911757,0.9024899121108791,1,0,0.6085712745645608,0
0,n:παῦλος,n:will,ugnt,en,0.00909090909090909,0.001366120218579235,0,0,1,0,0,0,0,0,0,0,1,0.6363636363636364,0.17091611479028695,0,0.9410546270911757,0.9024899121108791,1,0,0.029212318295006548,0
0,n:παῦλος,n:god,ugnt,en,0.00909090909090909,0.0006361323155216285,0,0,1,0,0,0,0,0,0,0,1,0.5454545454545454,0.08011692880794702,0,0.9410546270911757,0.8653623047749666,1,0,0.006418722281617651,0
0,n:παῦλος,n:the,ugnt,en,0.02727272727272727,0.0002244165170556553,0,0,0.5,0,0,0,0,0,0,0,,0.4090909090909091,0.009785273747535515,0,0.9410546270911757,0.8653623047749666,0.5,0,0.00009575158231420774,0
0,n:παῦλος,n:in,ugnt,en,0.01818181818181818,0.0003505082369435682,0,0,0.5,0,0,0,0,0,0,0,,0.08181818181818185,0.022293406276993954,0,0.9410546270911757,0.8294667935199341,0.5,0,0.0004969959634311134,0
0,n:παῦλος,n:christ,ugnt,en,0.02727272727272727,0.0014124293785310734,0,0,0.5,0,0,0,0,0,0,0,,0.040909090909090874,0.05573351569248488,0,0.9410546270911757,0.9805677441102129,0.5,0,0.003106224771444458,0
0,n:παῦλος,n:of:christ,ugnt,en,0.01818181818181818,0.003745318352059925,0,0,1,0,0,0,0,0,0,0,1,0.8636363636363636,0.23306742925948226,0,0.8525505864900214,0.9391551849996725,1,0,0.05432042658162377,0
0,n:παῦλος,n:through:the,ugnt,en,0.00909090909090909,0.0031446540880503146,0,0,1,0,0,0,0,0,0,0,1,0.7272727272727273,0.42729028697571747,0,0.8525505864900214,0.8637481846830267,1,0,0.182576989343791,0
0,n:παῦλος,n:the:saints,ugnt,en,0.00909090909090909,0.0023148148148148147,0,0,1,0,0,0,0,0,0,0,1,0.4545454545454546,0.3204677152317881,0,0.8525505864900214,0.9008206133818333,1,0,0.10269955650588242,0
0,n:παῦλος,n:saints:who,ugnt,en,0.00909090909090909,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.40909090909090906,0.390054891830804,0,0.8525505864900214,0.9008206133818333,1,0,0.1521428186411402,0
0,n:παῦλος,n:ephesus:and,ugnt,en,0.00909090909090909,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.2272727272727273,0.390054891830804,0,0.8525505864900214,0.8637481846830267,1,0,0.1521428186411402,0
0,n:παῦλος,n:faithful:in,ugnt,en,0.00909090909090909,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.13636363636363635,0.390054891830804,0,0.8525505864900214,0.8637481846830267,1,0,0.1521428186411402,0
0,n:παῦλος,n:through:the:will,ugnt,en,0.00909090909090909,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.7272727272727273,0.390054891830804,0,0.677629281369091,0.727459238584528,1,0,0.1521428186411402,0
0,n:παῦλος,n:of:god:to,ugnt,en,0.00909090909090909,0.005952380952380952,0,0,1,0,0,0,0,0,0,0,1,0.5909090909090908,0.8545805739514349,0,0.677629281369091,0.9787838562404558,1,0,0.730307957375164,0
0,n:παῦλος,n:the:saints:who,ugnt,en,0.00909090909090909,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.4545454545454546,0.390054891830804,0,0.677629281369091,0.7932645771903669,1,0,0.1521428186411402,0
0,n:ἀπόστολος,n:to,ugnt,en,0.014925373134328358,0.0001999600079984003,0,0,1,0,0,0,0,0,0,0,1,0.5588235294117647,0.011869174638214375,0,0.9410546270911757,0.72129436535378,1,0,0.00014087730659243135,0
0,n:ἀπόστολος,n:saints,ugnt,en,0.014925373134328358,0.0021231422505307855,0,0,1,0,0,0,0,0,0,0,1,0.4679144385026738,0.14243009565857248,0,0.9410546270911757,0.8566746447445988,1,0,0.020286332149310107,0
1,n:ἀπόστολος,n:an:apostle,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.9866310160427808,0.780109783661608,0,0.8525505864900214,0.970965566180551,1,0,0.6085712745645608,0
0,n:ἀπόστολος,n:to:the,ugnt,en,0.014925373134328358,0.0005973715651135006,0,0,1,0,0,0,0,0,0,0,1,0.5588235294117647,0.03662488174077578,0,0.8525505864900214,0.821068931348485,1,0,0.001341381962525811,0
0,n:ἀπόστολος,n:the:saints,ugnt,en,0.014925373134328358,0.0023148148148148147,0,0,1,0,0,0,0,0,0,0,1,0.5133689839572193,0.16023385761589404,0,0.8525505864900214,0.970965566180551,1,0,0.025674889126470604,0
0,n:ἀπόστολος,n:and:faithful,ugnt,en,0.014925373134328358,0.008771929824561403,0,0,1,0,0,0,0,0,0,0,1,0.2406417112299465,0.6409354304635762,0,0.8525505864900214,0.9485051075389344,1,0,0.41079822602352967,0
0,n:ἀπόστολος,n:christ:jesus,ugnt,en,0.029850746268656716,0.00404040404040404,0,0,0.5,0,0,0,0,0,0,0,,0.09385026737967912,0.11653371462974113,0,0.8525505864900214,0.9485051075389344,0.5,0,0.013580106645405942,0
0,n:ἀπόστολος,n:an:apostle:of,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.9866310160427808,0.780109783661608,0,0.677629281369091,0.9485051075389344,1,0,0.6085712745645608,0
0,n:ἀπόστολος,n:jesus:through:the,ugnt,en,0.014925373134328358,0.010416666666666666,0,0,1,0,0,0,0,0,0,0,1,0.8315508021390374,0.6409354304635762,0,0.677629281369091,0.801434382946534,1,0,0.41079822602352967,0
0,n:ἀπόστολος,n:through:the:will,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.786096256684492,0.780109783661608,0,0.677629281369091,0.8363601786237338,1,0,0.6085712745645608,0
0,n:ἀπόστολος,n:the:will:of,ugnt,en,0.014925373134328358,0.007751937984496124,0,0,1,0,0,0,0,0,0,0,1,0.7406417112299466,0.42729028697571747,0,0.677629281369091,0.970965566180551,1,0,0.182576989343791,0
0,n:ἀπόστολος,n:will:of:god,ugnt,en,0.014925373134328358,0.010416666666666666,0,0,1,0,0,0,0,0,0,0,1,0.6951871657754011,0.6409354304635762,0,0.677629281369091,0.970965566180551,1,0,0.41079822602352967,0
0,n:ἀπόστολος,n:are:in:ephesus,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.37700534759358295,0.780109783661608,0,0.677629281369091,0.9098642518991894,1,0,0.6085712745645608,0
0,n:ἀπόστολος,n:ephesus:and:faithful,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.286096256684492,0.780109783661608,0,0.677629281369091,0.7035974674016895,1,0,0.6085712745645608,0
0,n:ἀπόστολος,n:faithful:in:christ,ugnt,en,0.014925373134328358,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.19518716577540107,0.780109783661608,0,0.677629281369091,0.7676852366113525,1,0,0.6085712745645608,0
0,n:χριστοῦ,n:an,ugnt,en,0.0016313213703099511,0.006666666666666667,0,0,1,0,0,0,0,0,0,0,1,0.927807486631016,0.2340329350984824,0,0.9410546270911757,0.7920599235370218,1,0,0.05477141471081047,0
0,n:χριστοῦ,n:christ,ugnt,en,0.018760195758564437,0.010828625235404897,0,0,0.5,0,0,0,0,0,0,0,,0.9358288770053476,0.5573351569248489,0,0.9410546270911757,0.9377763052126784,0.5,0,0.31062247714444596,0
0,n:χριστοῦ,n:the,ugnt,en,0.03833605220228385,0.0035158587672052665,0,0,0.5,0,0,0,0,0,0,0,,0.7994652406417113,0.09785273747535515,0,0.9410546270911757,0.8266599074125369,0.5,0,0.009575158231420775,0
0,n:χριστοῦ,n:to,ugnt,en,0.015497553017944535,0.003799240151969606,0,0,1,0,0,0,0,0,0,0,1,0.6176470588235294,0.2373834927642875,0,0.9410546270911757,0.7920599235370218,1,0,0.056350922636972535,0
0,n:χριστοῦ,n:who,ugnt,en,0.0024469820554649264,0.0029154518950437317,0,0,1,0,0,0,0,0,0,0,1,0.4812834224598931,0.8581207620277687,0,0.9410546270911757,0.8266599074125369,1,0,0.7363712422231183,0
0,n:χριστοῦ,n:paul:an,ugnt,en,0.0008156606851549756,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.8823529411764706,0.039005489183080395,0,0.8525505864900214,0.9377763052126784,1,0,0.0015214281864114017,0
1,n:χριστοῦ,n:of:christ,ugnt,en,0.00897226753670473,0.020599250936329586,0,0,1,0,0,0,0,0,0,0,1,0.9812834224598931,0.42906038101388433,0,0.8525505864900214,0.9819967262985474,1,0,0.18409281055577958,0
0,n:χριστοῦ,n:christ:jesus,ugnt,en,0.004078303425774877,0.010101010101010102,0,0,0.5,0,0,0,0,0,0,0,,0.9358288770053476,0.42906038101388433,0,0.8525505864900214,0.8666553374986501,0.5,0,0.18409281055577958,0
0,n:χριστοῦ,n:of:god,ugnt,en,0.004078303425774877,0.005973715651135006,0,0,1,0,0,0,0,0,0,0,1,0.7085561497326203,0.6630933161123668,0,0.8525505864900214,0.8994869536656338,1,0,0.43969274587289514,0
0,n:χριστοῦ,n:the:saints,ugnt,en,0.0024469820554649264,0.006944444444444444,0,0,1,0,0,0,0,0,0,0,1,0.572192513368984,0.31204391346464316,0,0.8525505864900214,0.942263595293041,1,0,0.09737140393032971,0
0,n:χριστοῦ,n:and:faithful,ugnt,en,0.0008156606851549756,0.008771929824561403,0,0,1,0,0,0,0,0,0,0,1,0.2994652406417112,0.07801097836616079,0,0.8525505864900214,0.8666553374986501,1,0,0.006085712745645607,0
0,n:χριστοῦ,n:apostle:of:christ,ugnt,en,0.0008156606851549756,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.9732620320855615,0.039005489183080395,0,0.677629281369091,0.729993348664432,1,0,0.0015214281864114017,0
0,n:χριστοῦ,n:of:christ:jesus,ugnt,en,0.0016313213703099511,0.022988505747126436,0,0,1,0,0,0,0,0,0,0,1,0.9812834224598931,0.07801097836616079,0,0.677629281369091,0.7959804074215084,1,0,0.006085712745645607,0
0,n:χριστοῦ,n:jesus:through:the,ugnt,en,0.0008156606851549756,0.010416666666666666,0,0,1,0,0,0,0,0,0,0,1,0.8903743315508021,0.07801097836616079,0,0.677629281369091,0.729993348664432,1,0,0.006085712745645607,0
0,n:χριστοῦ,n:will:of:god,ugnt,en,0.0016313213703099511,0.020833333333333332,0,0,1,0,0,0,0,0,0,0,1,0.7540106951871658,0.07801097836616079,0,0.677629281369091,0.942263595293041,1,0,0.006085712745645607,0
0,n:χριστοῦ,n:of:god:to,ugnt,en,0.0016313213703099511,0.011904761904761904,0,0,1,0,0,0,0,0,0,0,1,0.7085561497326203,0.1170164675492412,0,0.677629281369091,0.9773586160655852,1,0,0.013692853677702618,0
0,n:χριστοῦ,n:saints:who:are,ugnt,en,0.0008156606851549756,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.5267379679144385,0.039005489183080395,0,0.677629281369091,0.8307167432531259,1,0,0.0015214281864114017,0
0,n:χριστοῦ,n:in:ephesus:and,ugnt,en,0.0008156606851549756,0.0196078431372549,0,0,1,0,0,0,0,0,0,0,1,0.39037433155080214,0.039005489183080395,0,0.677629281369091,0.8307167432531259,1,0,0.0015214281864114017,0
0,n:χριστοῦ,n:,ugnt,en,0.01631321370309951,0.002948547840188707,0,0,1,0,0.01631321370309951,0.002948547840188707,0,0,1,0,,0,1,0,0,0,0,0,0,0
